2026年7月3日作成,,,,,,,,,,,,,,,,
変電所 No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)（MW）,運用容量値（MW）,運用容量制約要因,予想潮流（MW）,空容量(当該設備)（MW）,空容量(上位系等考慮)（MW）,N-1電制適用可否,N-1電制適用可能量（MW）,平常時出力制御可能性,平常時出力制御が必要となりうる系統(当該設備),平常時出力制御が必要となりうる系統(上位系設備),備考
'001,'五戸,275,154,2,570,285,熱容量,-368,-,-,可,142,有り,対象,ﾌｪﾝｽ№1・№2，送0104，送0110，変002，変009,
'002,'上北,500,275,2,2470,1482,熱容量,-,-,-,-,-,有り,-,ﾌｪﾝｽ№1・№2，送0104，送0110，変001，変009,◇ 
'002,'上北,275,154,3,760,475,熱容量,-1224,-,-,可,237,有り,対象,ﾌｪﾝｽ№1・№2，送0104，送0110，変001，変009，送0520，送0521,※２ 
'003,'青森,275,154,2,570,342,熱容量,-192,-,-,可,85,有り,-,ﾌｪﾝｽ№1・№2，送0104，送0110，変001，変002，変009，送0520，送0521,
'004,'岩手,500,275,1,950,950,熱容量,-445,-,-,不可 #1,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009,※１ 
'004,'岩手,275,154,3,855,640,熱容量,-258,-,-,不可 #1,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，送0535,※２ 
'005,'水沢,275,154,2,570,342,熱容量,-499,-,-,可,85,有り,対象,ﾌｪﾝｽ№1・№2，変009,
'006,'東花巻,275,154,2,570,342,熱容量,-,-,-,-,-,有り,-,ﾌｪﾝｽ№1・№2，変009,◇ 
'007,'秋田,275,154,4,1186,912,熱容量,-450,-,-,不可 #1,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009,※３ 
'008,'西仙台,500,275,2,1900,950,熱容量,-,-,-,-,-,有り,-,変009,◆ 
'008,'西仙台,275,154,3,855,570,熱容量,-92,-,-,可,285,有り,-,変009,※２ 
'009,'宮城,500,275,1,950,950,熱容量,-959,-,-,不可 #1,-,有り,対象,-,※１ 
'009,'宮城,275,154,4,1092,807,熱容量,-329,-,-,可,400,有り,-,変009,※３ 
'010,'宮城中央,500,275,2,2375,1140,熱容量,-1136,-,-,不可 #1,-,有り,-,変009,
'011,'石巻,275,154,3,855,570,熱容量,-547,-,-,可,285,有り,-,変009，送0562,※２ 
'012,'仙台,275,154,4,1138,807,熱容量,-68,-,-,可,259,有り,-,変009,※３ 
'013,'東仙台,275,154,2,854,513,熱容量,-230,-,-,可,127,有り,-,変009,
'027,'名取,275,154,2,854,513,熱容量,-123,-,-,可,127,有り,-,変009,
'014,'新庄,275,154,1,285,342,熱容量,-614,-,-,不可 #3,-,有り,対象,八幡500/154kV変圧器，変009，送0608,※１ 
'015,'西山形,275,154,2,570,342,熱容量,-245,-,-,可,85,有り,-,八幡500/154kV変圧器，変009，変014,
'016,'福島,275,154,2,570,342,熱容量,-240,-,-,可,85,有り,-,変017,
'017,'東福島,275,154,2,854,513,熱容量,-528,-,-,可,99,有り,対象,送0626,
'018,'須賀川,275,154,3,855,570,熱容量,-249,-,-,可,285,有り,-,変017，送0626，送0632,※２ 
'019,'いわき,275,154,3,855,669,熱容量,-296,-,-,可,186,有り,-,変017，送0626，送0632,※２ 
'020,'南相馬,500,275,2,1900,1140,熱容量,-,-,-,-,-,-,-,-,◆ 
'021,'新地,500,154,2,570,342,熱容量,-418,-,-,可,85,有り,対象,-,
'022,'本名,275,154,2,284,171,熱容量,-221,-,-,可,42,有り,対象,送0131，送0665，送0666，送0667,
'023,'北新潟,275,154,2,854,513,熱容量,-379,-,-,可,127,有り,-,送0131，変022,
'024,'新潟,275,154,3,1139,835,熱容量,-560,-,-,可,233,有り,-,送0131，変022,※２ 
'025,'中越,275,154,3,1281,1026,熱容量,30,-,-,可,255,有り,-,送0131，変022，送0687,※２ 
'026,'東上越,275,154,2,570,342,熱容量,0,-,-,可,85,有り,-,送0131，変022，送0687，送0700,
'変圧器の潮流は、一次側から二次側に流れる方向を正としています。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
