2026年7月3日作成,,,,,,,,,,,,,,,,
変電所 No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)（MW）,運用容量値（MW）,運用容量制約要因,予想潮流（MW）,空容量(当該設備)（MW）,空容量(上位系等考慮)（MW）,N-1電制適用可否,N-1電制適用可能量（MW）,平常時出力制御可能性,平常時出力制御が必要となりうる系統(当該設備),平常時出力制御が必要となりうる系統(上位系設備),備考
'301,'秋田,154,66,3,285,209,熱容量,-286,-,-,可,76,有り,対象,ﾌｪﾝｽ№1・№2，送0110，変009,※２ 
'302,'羽後,275,66,3,285,209,熱容量,-135,-,-,可,76,有り,-,ﾌｪﾝｽ№1・№2，変009,※２ 
'303,'能代,275,66,3,285,228,熱容量,-332,-,-,可,11,有り,対象,ﾌｪﾝｽ№1・№2，送0110，変009,※２ 
'304,'大館,154,66,3,285,228,熱容量,-275,-,-,可,57,有り,対象,ﾌｪﾝｽ№1・№2，送0110，変009,※２ 
'305,'秋田中央,154,66,2,286,171,熱容量,-55,-,-,可,43,有り,-,ﾌｪﾝｽ№1・№2，変009,
'306,'御所野,154,66,3,381,266,熱容量,-192,-,-,可,91,有り,-,ﾌｪﾝｽ№1・№2，変009,※２ 
'307,'大仙,154,66,2,190,114,熱容量,-82,-,-,可,28,有り,-,ﾌｪﾝｽ№1・№2，変009,
'308,'由利,154,66,3,285,209,熱容量,-249,-,-,可,76,有り,対象,ﾌｪﾝｽ№1・№2，八幡500/154kV変圧器，変009，変014，送0555，送0596，送0600，送0608,※２ 
'3101,'大館,66,6.6,2,18,18,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304,
'3102,'釈迦内,66,6.6,3,45,45,熱容量,-,5,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304,
'3103,'毛馬内,66,33,1,10,10,熱容量,-9,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送312A,
'3103,'毛馬内,66,6.6,2,31,31,熱容量,-,22,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送312A,
'3104,'花輪,66,33,1,10,10,熱容量,-9,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送312A，送312B,
'3104,'花輪,66,6.6,2,36,36,熱容量,-,20,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送312A，送312B,
'3105,'3105,66,6.6,1,5,5,熱容量,-,2,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送312A，送312B，送312D,
'3106,'3106,33,6.6,1,9,9,熱容量,-,9,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送312A，送312B,
'3107,'桂,66,6.6,3,40,40,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304,
'3108,'鷹巣,66,6.6,2,31,31,熱容量,-,12,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D,
'3109,'岩瀬,66,6.6,2,14,14,熱容量,-,2,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D,
'3110,'米内沢,66,6.6,2,27,27,熱容量,-,10,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D,
'3111,'小又川,66,33,1,6,6,熱容量,-1,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D，送313M,
'3111,'小又川,66,6.6,1,5,5,熱容量,-,5,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D，送313M,
'3112,'阿仁,33,6.6,1,5,5,熱容量,-,4,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D，送313M,
'3113,'楢森,66,6.6,1,9,9,熱容量,-,8,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変304，送313D，送313M,
'3201,'能代東,66,33,1,19,19,熱容量,-,-,-,-,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A,◇ 
'3201,'能代東,66,6.6,3,44,44,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A,
'3202,'向能代,66,6.6,2,36,36,熱容量,-,12,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A,
'3203,'二ツ井,66,6.6,2,18,18,熱容量,-,9,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A,
'3204,'森岳,66,6.6,2,31,31,熱容量,-,4,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A，送321E,
'3205,'八森,66,33,1,10,10,熱容量,-,-,-,-,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A,◇ 
'3205,'八森,66,6.6,1,9,9,熱容量,-,7,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変303，送321A,
'3301,'八郎潟,66,6.6,2,31,31,熱容量,-,13,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送331A,
'3302,'大久保,66,6.6,2,36,36,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送332A,
'3303,'船越,66,6.6,3,40,40,熱容量,-,2,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送332A，送332B，送332C,
'3304,'船川,66,33,1,10,10,熱容量,-1,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送332A，送332B，送332C,
'3304,'船川,66,33,1,6,6,熱容量,-6,-,-,不可 #3,-,有り,対象,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送332A，送332B，送332C,
'3304,'船川,66,6.6,2,18,18,熱容量,-,7,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送332A，送332B，送332C,
'3305,'男鹿配電塔,33,6.6,1,5,5,熱容量,-,3,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301，送332A，送332B，送332C，変3304,
'3306,'飯島,66,6.6,2,31,31,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301,
'3307,'土崎,66,33,1,5,5,熱容量,-,-,-,-,-,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301,◇ 
'3307,'土崎,66,6.6,3,63,63,熱容量,-,19,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，送0110，変009，変301,
'3401,'八橋,66,6.6,3,54,54,熱容量,-,16,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3402,'山王,66,6.6,3,58,58,熱容量,-,22,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3403,'大川反,66,6.6,2,36,36,熱容量,-,20,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3404,'新屋,66,6.6,2,27,27,熱容量,-,11,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3405,'南通,66,6.6,2,54,54,熱容量,-,31,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3406,'広小路,66,6.6,3,54,54,熱容量,-,20,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3501,'御所野,66,6.6,2,36,36,熱容量,-,20,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3502,'手形,66,6.6,3,54,54,熱容量,-,20,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3503,'牛島,66,6.6,2,36,36,熱容量,-,23,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3504,'南河辺,66,6.6,2,27,27,熱容量,-,8,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送354A,
'3505,'川添,66,33,1,15,15,熱容量,-11,-,-,不可 #3,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送355A,
'3505,'川添,66,6.6,2,18,18,熱容量,-,6,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送355A,
'3506,'羽川,33,6.6,1,9,9,熱容量,-,3,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送355A,
'3508,'岩城亀田,66,6.6,2,18,18,熱容量,-,6,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送355A,
'3601,'大仙,66,6.6,2,36,36,熱容量,-,21,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009,
'3602,'3602,66,6.6,1,9,9,熱容量,-,8,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3603,'角館,66,6.6,2,36,36,熱容量,-,21,-,不可 #4,0,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
'3604,'3604,66,6.6,1,9,9,熱容量,-,10,-,不可 #4,-,有り,-,ﾌｪﾝｽ№1・№2，変009，送362A,
